source_system;category;question;document_id
evdi;Analysekonzept;Was sind die wichtigsten Schritte des Analyseprozesses für Immobilienprojekte bei Engel & Völkers Digital Invest?;f2624f5125f9
evdi;Analysekonzept;Welche externen Partner sind an der Analyse von Immobilienprojekten bei Engel & Völkers Digital Invest beteiligt?;f2624f5125f9
evdi;Analysekonzept;Wie garantiert Engel & Völkers Digital Invest die Objektivität der Analyseergebnisse für Immobilienprojekte?;f2624f5125f9
evdi;Analysekonzept;Wer führt die technische Projektanalyse für Immobilienprojekte bei Engel & Völkers Digital Invest durch?;f2624f5125f9
evdi;Analysekonzept;Wer überprüft die rechtlichen Aspekte von Immobilienprojekten bei Engel & Völkers Digital Invest?;f2624f5125f9
evdi;Analysekonzept;Wie wird die Wirtschaftlichkeit der Projekte bei Engel & Völkers Digital Invest bewertet?;14e6c2e22916
evdi;Analysekonzept;Wie wird der Standort der Projekte bei Engel & Völkers Digital Invest bewertet?;14e6c2e22916
evdi;Analysekonzept;Wie wird das Grundstück der Projekte bei Engel & Völkers Digital Invest bewertet?;14e6c2e22916
evdi;Analysekonzept;Wie wird der jeweilige Markt der Projekte bei Engel & Völkers Digital Invest bewertet?;14e6c2e22916
evdi;Analysekonzept;Wie wird das Projektrisiko bei Engel & Völkers Digital Invest eingeschätzt?;14e6c2e22916
evdi;Analysekonzept;Which factors are taken into account when analyzing the economic viability of a project?;fa58a51bc8cc
evdi;Analysekonzept;What are the four main areas of analysis for Engel & Völkers Digital Invest when evaluating a real estate project?;fa58a51bc8cc
evdi;Analysekonzept;What does the analysis of the market and location entail?;fa58a51bc8cc
evdi;Analysekonzept;What does the analysis of the project development entail?;fa58a51bc8cc
evdi;Analysekonzept;What does the analysis of the project developer entail?;fa58a51bc8cc
evdi;Analysekonzept;Was sind die Faktoren, die die Rentabilität eines Projekts beeinflussen?;815f4906b2c7
evdi;Analysekonzept;Wie werden die Kosten und Erlöse eines Projekts berechnet?;815f4906b2c7
evdi;Analysekonzept;Welche Rolle spielen externe Gutachten bei der Einschätzung der Rentabilität?;815f4906b2c7
evdi;Analysekonzept;Welche Informationen werden bei der Analyse berücksichtigt?;815f4906b2c7
evdi;Analysekonzept;Wie wird sichergestellt, dass die Rentabilitätsberechnung realistisch ist?;815f4906b2c7
evdi;Allgemeine Fragen;Was ist Crowdinvesting?;0b6e11186afa
evdi;Allgemeine Fragen;Was ist die englische Bezeichnung für Crowdinvesting?;0b6e11186afa
evdi;Allgemeine Fragen;Wie definiert sich Crowdinvesting?;0b6e11186afa
evdi;Allgemeine Fragen;Wie viele Investoren schließen sich zusammen, um Crowdinvesting zu praktizieren?;0b6e11186afa
evdi;Allgemeine Fragen;Wie viel Geld müssen Investoren normalerweise zusammenlegen, um ein Projekt zu finanzieren?;0b6e11186afa
evdi;Allgemeine Fragen;Welche Arten von Projekten sind für Crowdinvesting geeignet?;9c7577b19662
evdi;Allgemeine Fragen;Wie lange dauert es, bis ich mein Geld zurückhabe?;9c7577b19662
evdi;Allgemeine Fragen;Was ist der Unterschied zwischen Crowdinvesting und Crowdfunding?;9c7577b19662
evdi;Allgemeine Fragen;Was ist die Mindestsumme, die ich investieren kann?;9c7577b19662
evdi;Allgemeine Fragen;Welche Arten von Immobilienprojekten eignen sich für Crowdinvesting?;9c7577b19662
evdi;Allgemeine Fragen;Was ist der Grund, warum Engel & Völkers Digital Invest in jedes der vorgestellten Projekte investiert?;6c41690f5153
evdi;Allgemeine Fragen;Welche Institutionen sind Partner von EV Digital Invest AG?;6c41690f5153
evdi;Allgemeine Fragen;Welche Art von Partnerschaft besteht zwischen Engel & Völkers Digital Invest und EV Digital Invest AG?;6c41690f5153
evdi;Allgemeine Fragen;Welche Vorteile ergeben sich für EV Digital Invest AG durch die Partnerschaft mit Engel & Völkers Digital Invest?;6c41690f5153
evdi;Allgemeine Fragen;Welche Vorteile ergeben sich für die Kunden von EV Digital Invest AG durch die Partnerschaft mit Engel & Völkers Digital Invest?;6c41690f5153
evdi;Allgemeine Fragen;Warum leiht sich der Projektentwickler das Geld nicht von der Bank?;04f2ab1176b6
