source_system;method;metric;value;model;description
evdi;vector_answer;mrr;0.5219923371647511;distiluse-base-multilingual-cased-v1;vector evaluation against answer field
evdi;vector_answer;HR@K5;0.7241379310344828;distiluse-base-multilingual-cased-v1;vector evaluation against answer field
evdi;vector_question_answer;mrr;0.5786590038314177;paraphrase-multilingual-mpnet-base-v2;vector evaluation against question/answer pair
evdi;vector_question_answer;HR@K5;0.7310344827586207;paraphrase-multilingual-mpnet-base-v2;vector evaluation against question/answer pair
evdi;reranking_vector_question_answer;mrr;0.5582758620689656;paraphrase-multilingual-MiniLM-L12-v2;reranking against question/answer pair
evdi;reranking_vector_question_answer;HR@K5;0.7908045977011494;paraphrase-multilingual-MiniLM-L12-v2;reranking against question/answer pair
evdi;vector_question_answer;mrr;0.5532183908045977;paraphrase-multilingual-MiniLM-L12-v2;vector evaluation against question/answer pair
evdi;vector_question_answer;HR@K5;0.7241379310344828;paraphrase-multilingual-MiniLM-L12-v2;vector evaluation against question/answer pair
evdi;vector_question_answer;HR@K3;0.6252873563218391;paraphrase-multilingual-MiniLM-L12-v2;vector evaluation against question/answer pair
evdi;vector_question_answer;mrr;0.6240613026819922;distiluse-base-multilingual-cased-v1;vector evaluation against question/answer pair
evdi;vector_question_answer;HR@K5;0.7839080459770115;distiluse-base-multilingual-cased-v1;vector evaluation against question/answer pair
evdi;vector_question_answer;HR@K3;0.7149425287356321;distiluse-base-multilingual-cased-v1;vector evaluation against question/answer pair
evdi;text;mrr;0.5620689655172414;distiluse-base-multilingual-cased-v1;text evaluation
evdi;text;HR@K5;0.6436781609195402;distiluse-base-multilingual-cased-v1;text evaluation
evdi;text_german_analyzer;mrr;0.6126436781609196;distiluse-base-multilingual-cased-v1;text evaluation
evdi;text_german_analyzer;HR@K5;0.671264367816092;distiluse-base-multilingual-cased-v1;text evaluation
evdi;reranking_vector_question_answer;mrr;0.5936781609195405;paraphrase-multilingual-mpnet-base-v2;reranking against question/answer pair
evdi;reranking_vector_question_answer;HR@K5;0.7770114942528735;paraphrase-multilingual-mpnet-base-v2;reranking against question/answer pair
evdi;reranking_vector_question_answer;HR@K3;0.7471264367816092;paraphrase-multilingual-mpnet-base-v2;reranking against question/answer pair
evdi;reranking_vector_question_answer_with_german_analyzer;mrr;0.6327586206896556;paraphrase-multilingual-mpnet-base-v2;reranking against question/answer pair
evdi;reranking_vector_question_answer_with_german_analyzer;HR@K5;0.7908045977011494;paraphrase-multilingual-mpnet-base-v2;reranking against question/answer pair
evdi;reranking_vector_question_answer_with_german_analyzer;HR@K3;0.7655172413793103;paraphrase-multilingual-mpnet-base-v2;reranking against question/answer pair
evdi;reranking_vector_question_answer;mrr;0.6160919540229888;distiluse-base-multilingual-cased-v1;reranking against question/answer pair
evdi;reranking_vector_question_answer;HR@K5;0.8114942528735632;distiluse-base-multilingual-cased-v1;reranking against question/answer pair
evdi;reranking_vector_question_answer;HR@K3;0.774712643678161;distiluse-base-multilingual-cased-v1;reranking against question/answer pair
evdi;reranking_vector_question_answer_with_german_analyzer;mrr;0.645593869731801;distiluse-base-multilingual-cased-v1;reranking against question/answer pair with German analyzer
evdi;reranking_vector_question_answer_with_german_analyzer;HR@K5;0.8160919540229885;distiluse-base-multilingual-cased-v1;reranking against question/answer pair with German analyzer
evdi;reranking_vector_question_answer_with_german_analyzer;HR@K3;0.7931034482758621;distiluse-base-multilingual-cased-v1;reranking against question/answer pair  with German analyzer
